GroupID_z8,SubhaloID_z8,M200c_z8,logM200c_z8,GroupID_z0,SubhaloID_z0,M200c_z0,logM200c_z0,MstarCentral_z8,logMstarCentral_z8,SFRCentral_z8,logSFRCentral_z8,Ngal_R1,MstarTot_R1,Nhalo_R1,MhaloTot_R1,deltaGal_R1,Ngal_R2,MstarTot_R2,Nhalo_R2,MhaloTot_R2,deltaGal_R2,Ngal_R3,MstarTot_R3,Nhalo_R3,MhaloTot_R3,deltaGal_R3,Ngal_R5,MstarTot_R5,Nhalo_R5,MhaloTot_R5,deltaGal_R5,Ngal_R8,MstarTot_R8,Nhalo_R8,MhaloTot_R8,deltaGal_R8,Ngal_R10,MstarTot_R10,Nhalo_R10,MhaloTot_R10,deltaGal_R10,Ngal_R15,MstarTot_R15,Nhalo_R15,MhaloTot_R15,deltaGal_R15,Ngal_R20,MstarTot_R20,Nhalo_R20,MhaloTot_R20,deltaGal_R20
2174,10490,97579794000.0,10.989359855651855,35,120530,381228075188224.0,14.581184876358591,278489372.17908376,8.444808626109214,2.6005959510803223,0.41523984801266645,0,0.0,5,75731368183.84329,-1.0,0,0.0,16,194726592237.20956,-1.0,0,0.0,25,240702560192.93265,-1.0,0,0.0,68,565470005422.6986,-1.0,12,3947448265.8798456,293,3532893653900.7397,17.63687790305727,15,5073840684.522244,458,4935839788502.633,10.927601857956654,29,8112414329.496147,1147,10982206555543.693,5.8326015581381325,46,14790594231.327406,2095,19298587456578.715,3.572247378883384
2175,10491,76362640000.0,10.88288116455078,946,680086,50929000775680.0,13.706965155424845,248217236.46071586,8.39483193606627,2.794663190841675,0.4464848483433842,0,0.0,3,32496996331.71469,-1.0,0,0.0,6,48550294675.33991,-1.0,0,0.0,12,84873398637.78569,-1.0,0,0.0,30,213524280817.13492,-1.0,0,0.0,119,843373045285.6832,-1.0,1,168909509.84911895,208,1592493923735.6812,-0.2048265428028897,3,391018683.88326883,497,3660581013446.79,-0.29317914915812415,4,606314341.0072377,871,6444735646221.467,-0.6024132714014448
2177,10502,74013204000.0,10.869309425354004,795,632688,52661088944128.0,13.721489835353722,170975247.66253975,8.23293324149351,1.6368117332458496,0.21426397806443548,1,123260130.29571968,4,181990224842.76196,794.1734571971102,1,123260130.29571968,15,294585882790.29205,98.39668214963878,1,123260130.29571968,36,479325303020.89105,28.450868785078157,1,123260130.29571968,78,794967137890.8585,5.361387657576882,2,240173133.63842812,133,1173499668941.478,2.106146317176212,2,240173133.63842812,187,1529831717746.039,0.5903469143942206,5,1981672656.2738912,488,4063875000051.67,0.1780347514031264,8,2844812766.9889665,1022,8110171985865.557,-0.2048265428028897
2178,10506,107885630000.0,11.032963752746582,6595,1286159,6665866838016.0,12.82385663364307,274621400.07254153,8.438734376933109,4.739396572113037,0.6758146754031985,0,0.0,4,19949070992.70771,-1.0,0,0.0,8,58918335214.631195,-1.0,0,0.0,12,97425957327.2241,-1.0,0,0.0,25,171079007501.19672,-1.0,0,0.0,71,454129729610.22565,-1.0,0,0.0,117,727192362853.479,-1.0,2,203946562.15449297,376,2459444943073.052,-0.5287860994387494,4,476837233.8198088,684,4460432850526.15,-0.6024132714014448
2180,10513,70264640000.0,10.846736907958984,10,55060,635853466501120.0,14.803357043286407,196712994.56582156,8.29383304971002,1.7813202142715454,0.2509857326963069,0,0.0,4,61452382604.105125,-1.0,0,0.0,12,109591684599.77025,-1.0,2,3962026042.01407,33,700641390687.4263,57.901737570156314,6,6362122298.221884,87,1470582279565.5908,37.16832594546129,6,6362122298.221884,214,2413028872159.1567,8.318438951528636,6,6362122298.221884,350,3362481635265.1675,3.7710407431826614,15,11080297621.383333,984,9058544065023.482,2.534104254209379,21,13435066446.380379,1784,15592765013112.918,1.0873303251424145
2182,10522,72221890000.0,10.85866928100586,442,488204,78141225697280.0,13.89288021914101,287005515.58709407,8.457890242957067,2.0282175540924072,0.307328610600074,1,113704649.31741238,6,69780985637.50937,794.1734571971102,1,113704649.31741238,10,92852827912.7679,98.39668214963878,1,113704649.31741238,16,129598380235.01086,28.450868785078157,2,214543346.736876,58,487430263030.20154,11.722775315153765,2,214543346.736876,186,1476421557171.0696,2.106146317176212,3,388731602.28788733,328,2580270386301.805,1.3855203715913307,6,790705816.9242024,712,5570022732125.008,0.4136417016837517,13,2994528067.7868547,1343,10415796019799.047,0.29215686794530416
2183,10525,111257310000.0,11.0463285446167,4869,1187845,8808959049728.0,12.944924591082993,325894791.10604864,8.513077419035323,2.894963502883911,0.461793084253009,1,119606923.31964792,13,134697915716.15999,794.1734571971102,1,119606923.31964792,20,204106676550.36478,98.39668214963878,1,119606923.31964792,23,236010067065.90875,28.450868785078157,3,566626828.2771497,50,484634661326.0577,18.084162972730645,4,714666394.6196643,107,945326853746.9979,5.212292634352424,6,999756154.6485263,182,1475429468479.415,3.7710407431826614,10,1547779924.4856358,499,3634610470985.995,1.3560695028062528,20,3579109067.117655,1206,9248982905320.873,0.9879336429927756
2186,10539,87011830000.0,10.93957805633545,2,17924,1033314370584576.0,15.014232469282954,285796253.579818,8.456056531451885,3.057356357574463,0.48548808771832835,0,0.0,5,38496391467.72147,-1.0,0,0.0,13,151745124591.07617,-1.0,0,0.0,23,219353403019.48978,-1.0,0,0.0,54,472387184664.1802,-1.0,3,4293014881.6347156,158,2024527217237.0208,3.659219475764318,14,9311864054.661463,359,4712943846465.987,10.132428400759544,33,16667316031.180584,983,11037807945510.727,6.775029359260634,56,21581164172.679787,2118,20802474734633.22,4.566214200379772
2187,10541,63977603000.0,10.806028366088867,2,17908,1033314370584576.0,15.014232469282954,126411407.47323725,8.101786266819285,1.2708741426467896,0.1044441381533582,1,1458253063.633268,19,442933011387.59607,794.1734571971102,3,2515705724.1612844,67,1103354035127.3984,297.19004644891635,9,5562134897.696574,132,2407022233879.739,264.0578190657034,17,11222209795.981709,275,4452621209118.125,107.143590178807,22,14445472489.146046,517,6991014278521.044,33.16760948893833,24,14672782241.853775,735,8839123115572.633,18.084162972730645,45,19897351504.485264,1521,16001420788596.717,9.602312762628138,61,22597853872.50378,2433,23330828147781.637,5.063197611127966
2189,10553,89369200000.0,10.95118808746338,18241,1618834,2018280341504.0,12.304981490103165,205369523.78442234,8.312535996056432,2.7203330993652344,0.43478170398566685,0,0.0,0,0.0,-1.0,0,0.0,3,19508481008.097736,-1.0,0,0.0,3,19508481008.097736,-1.0,0,0.0,5,30385680190.926285,-1.0,0,0.0,61,438057062616.7339,-1.0,0,0.0,84,566340183521.887,-1.0,1,355614870.0387491,255,1788282218868.4863,-0.7643930497193747,4,820367176.0648128,594,4034717774757.2153,-0.6024132714014448
