GroupID_z8,SubhaloID_z8,M200c_z8,logM200c_z8,SubhaloID_z0,GroupID_z0,M200c_z0,logM200c_z0,TrackingStatus
1636,8516,91796880000.0,10.962827682495117,195434,77,230889556541440.0,14.363404289612728,success
1637,8519,65405637000.0,10.8156156539917,486235,438,58306320138240.0,13.765715632844694,success
1638,8523,89304230000.0,10.950872421264648,1125161,4010,9689474531328.0,12.986300225520063,success
1642,8541,91768690000.0,10.962695121765137,177233,65,227894857039872.0,14.357734524458976,success
1643,8545,90397560000.0,10.956156730651855,661206,883,48145580949504.0,13.682556431495474,success
1644,8547,77689090000.0,10.890359878540039,1355662,8169,5880002117632.0,12.769377482483575,success
1645,8549,120160180000.0,11.079760551452637,181998,68,276792942264320.0,14.442155012176563,success
1646,8550,103185070000.0,11.013617515563965,645901,835,38440708079616.0,13.584791378794575,success
1651,8572,94304090000.0,10.974531173706055,429989,337,96431452979200.0,13.984218710535103,success
1652,8574,110337204000.0,11.042722702026367,1213458,5274,6556790292480.0,12.81669129373588,success
1654,8582,68069110000.0,10.832950592041016,1660511,20697,2298395230208.0,12.361424711706265,success
1656,8590,95491970000.0,10.97996711730957,394672,282,80834186969088.0,13.907595074536232,success
1658,8600,64019670000.0,10.806313514709473,639864,816,45387591188480.0,13.656937134465458,success
1659,8605,110638825000.0,11.04390811920166,465493,398,58272455327744.0,13.765463317606624,success
1661,8613,96672220000.0,10.985301971435547,27878,4,841819696922624.0,14.925219083166255,success
1662,8618,102672650000.0,11.011454582214355,155569,53,184230525009920.0,14.265361589731892,success
1663,8621,75530880000.0,10.878124237060547,81618,19,467371865145344.0,14.669662565180955,success
1664,8623,101200350000.0,11.005182266235352,1001554,2735,16947292930048.0,13.22910033620078,success
1665,8624,117049430000.0,11.06836986541748,715215,1071,41625778651136.0,13.61936237049585,success
1666,8626,115833815000.0,11.063836097717285,755507,1230,29698849505280.0,13.47273962564091,success
1667,8627,76356720000.0,10.882847785949707,822299,1540,19932582510592.0,13.299563570523862,success
1669,8636,64665354000.0,10.81067180633545,994742,2680,16915016712192.0,13.228272431211153,success
1670,8638,118808855000.0,11.074849128723145,1386300,8973,5195608621056.0,12.715636428752509,success
1671,8640,104350490000.0,11.018494606018066,42633,7,581220677189632.0,14.764341056124303,success
1672,8643,112757140000.0,11.052144050598145,375696,256,125519060271104.0,14.098709679140052,success
1673,8645,100153820000.0,11.000667572021484,1098170,3691,13817374310400.0,13.140425522716598,success
1675,8652,114753560000.0,11.05976676940918,806684,1462,28310146908160.0,13.45194212302945,success
1676,8654,119792960000.0,11.078432083129883,229917,102,98802778243072.0,13.994769156719931,success
1678,8660,67076555000.0,10.826570510864258,560578,599,63776908902400.0,13.804663466315493,success
1679,8663,86693020000.0,10.937984466552734,470235,406,88225624358912.0,13.945594740476844,success
1680,8666,103014520000.0,11.012898445129395,503347,473,81075552387072.0,13.90888991630696,success
1681,8670,67414163000.0,10.828751564025879,37502,6,459285179924480.0,14.662082431960792,success
1682,8674,72650340000.0,10.861237525939941,1365930,8432,5487038300160.0,12.739337991632217,success
1683,8678,75144995000.0,10.875900268554688,78526,18,407155215695872.0,14.609760002516866,success
1684,8683,91387730000.0,10.960887908935547,289454,155,178474010542080.0,14.251574982913551,success
1685,8686,64519340000.0,10.809690475463867,1531365,13981,1751333208064.0,12.243368782666181,success
1686,8690,101537450000.0,11.00662612915039,635178,802,48450024505344.0,13.685294001046907,success
1689,8702,99260440000.0,10.996776580810547,562060,603,62055935639552.0,13.792783328013899,success
1692,8716,102869885000.0,11.012288093566895,1159449,4464,10051870785536.0,13.002246897201738,success
1695,8732,124052685000.0,11.093606948852539,613911,739,56257197113344.0,13.75017809063523,success
1696,8734,98316280000.0,10.99262523651123,1109191,3820,11085796081664.0,13.044766885674214,success
1697,8736,76840650000.0,10.885591506958008,238668,109,188158054498304.0,14.274522813935697,success
1698,8741,112088875000.0,11.049562454223633,526833,521,66945118371840.0,13.82571891381303,success
1700,8748,112131870000.0,11.049729347229004,429523,336,101111641931776.0,14.0048011628674,success
1701,8750,80299745000.0,10.904714584350586,449117,370,105982210342912.0,14.025232972828052,success
1703,8760,116240110000.0,11.065356254577637,743181,1179,36900337352704.0,13.567030336612937,success
1704,8762,123643530000.0,11.092171669006348,479387,424,75413711749120.0,13.877450316633473,success
1705,8763,98795050000.0,10.994735717773438,1318511,7285,6757963792384.0,12.829815860595144,success
1706,8766,119792630000.0,11.07843017578125,617636,750,54375057719296.0,13.735399730967906,success
1707,8767,77473100000.0,10.889151573181152,216757,92,207364997251072.0,14.31673545029975,success
1708,8774,116988000000.0,11.06814193725586,195434,77,230889556541440.0,14.363404289612728,success
1709,8776,116135670000.0,11.064966201782227,713033,1063,37444019814400.0,13.573382466388164,success
1710,8777,74419820000.0,10.871688842773438,1106644,3790,12035218735104.0,13.080453987804685,success
1711,8782,84137394000.0,10.924988746643066,911505,2057,20998067847168.0,13.322179334642575,success
1712,8787,88181236000.0,10.9453763961792,314630,181,117365014528000.0,14.069538656862111,success
1713,8791,99179770000.0,10.996423721313477,591185,677,50944049938432.0,13.707093467443423,success
1715,8796,64937480000.0,10.812495231628418,785333,1362,30152434122752.0,13.479322377285753,success
1716,8798,73962095000.0,10.869009017944336,1594353,16928,2774662905856.0,12.443210228172488,success
1717,8800,87210660000.0,10.940569877624512,84228,20,431286791438336.0,14.63476615767462,success
1720,8815,107409285000.0,11.031042098999023,362147,238,67912647835648.0,13.831950663436754,success
1721,8818,105936130000.0,11.025044441223145,802237,1441,29624721473536.0,13.471654275876388,success
1724,8832,118944760000.0,11.075345993041992,322253,189,142160531816448.0,14.1527790394773,success
1725,8833,90672140000.0,10.957473754882812,70146,15,497315974479872.0,14.696632409598273,success
1726,8836,115404530000.0,11.062223434448242,285612,151,177005769261056.0,14.24798742182739,success
1727,8837,98040520000.0,10.991405487060547,214510,90,239398222299136.0,14.379120921139139,success
1728,8839,102187830000.0,11.0093994140625,75826,17,416661488271360.0,14.619783360778436,success
1730,8846,68196090000.0,10.833759307861328,55060,10,635853466501120.0,14.803357043286407,success
1731,8851,118800015000.0,11.074816703796387,527689,523,70654569218048.0,13.849140252837353,success
1732,8852,91381220000.0,10.960857391357422,175556,64,279798244966400.0,14.446844986053598,success
1733,8856,91051885000.0,10.95928955078125,364563,241,116610618621952.0,14.066738099299025,success
1734,8860,75562180000.0,10.878304481506348,27879,4,841819696922624.0,14.925219083166255,success
