GroupID_z8,SubhaloID_z8,GroupID_z0,SubhaloID_z0,logM200c_z8,logM200c_z0,M0_bin,ParticleMembership,N_DM_total,N_DM_sampled,N_DM_matched,DM_match_fraction,R_Lag_analytic_cMpc,R50_cMpc,R68_cMpc,R80_cMpc,R90_cMpc,Rrms_cMpc,b_over_a,c_over_a,Triaxiality,R_environment_opt_cMpc,fprog_at_Ropt,Nhalo_R10,Ngal_R10,fprog_R2,fprog_R3,fprog_R5,fprog_R8,fprog_R10,fprog_R15,fprog_R20
1369,7451,498,515300,10.935484886169434,13.777009155600505,13.5-14.0,R200c,887273,10000,10000,1.0,7.134507231779694,5.595881304028642,6.514857733430023,7.285607952533719,8.24392987284502,5.993835199031969,0.7438317085525596,0.567289014095776,0.6586928224667155,8.0,0.5218,188,1,0.0281,0.0628,0.2125,0.5218,0.7504,0.9933,1.0
2158,10449,489,510705,11.002734184265137,13.80062814694668,13.5-14.0,R200c,948765,10000,10000,1.0,7.265022767063121,5.871822594215759,7.178737696083681,8.34096613586106,9.6752419678883,6.571369380780813,0.6133685439307783,0.4387169722715232,0.7724555417264439,8.0,0.5561,184,2,0.0419,0.0812,0.1972,0.5561,0.7276,0.9674,1.0
2760,12533,493,512658,10.946438789367676,13.813408997296108,13.5-14.0,R200c,948133,10000,10000,1.0,7.336640908492356,5.19510321851005,6.095264236038902,6.804757802728775,7.6680009390547355,5.616352076872697,0.7987150749249875,0.6469769737871611,0.6227060193903281,8.0,0.8274,201,3,0.0635,0.1432,0.4168,0.8274,0.9716,1.0,1.0
542,3676,400,466819,11.034072875976562,13.828507273774644,13.5-14.0,R200c,976597,10000,10000,1.0,7.422155038241111,5.120965250574939,5.979738656314445,6.574343493329958,7.217340187137386,5.349043205493274,0.8697809192878102,0.6873448854814408,0.4615257660591733,8.0,0.7123,192,6,0.0542,0.1239,0.3326,0.7123,0.9176,0.9996,1.0
1876,9392,430,482286,11.03582763671875,13.832467406437347,13.5-14.0,R200c,987264,10000,10000,1.0,7.4447491035629625,5.031505761812946,5.984292247992246,6.772174131754489,7.82182779527632,5.771054985437748,0.7850053869289191,0.6167416390343835,0.6193481543949255,8.0,0.5827,286,5,0.0302,0.0648,0.1948,0.5827,0.8451,0.9886,0.9998
1839,9248,611,565245,11.016069412231444,13.833712037761885,13.5-14.0,R200c,996189,10000,10000,1.0,7.451864394819682,5.141591013175924,6.026804117564558,6.761096967320461,7.683808999780675,5.504843585171656,0.7652410455884399,0.6765433698995702,0.7641794129876626,8.0,0.7958,242,4,0.0645,0.1494,0.3736,0.7958,0.9485,1.0,1.0
4723,18944,538,534279,10.85093593597412,13.879134079198533,13.5-14.0,R200c,1107349,10000,10000,1.0,7.716238162230474,5.5790278633728985,6.454936491023551,7.1581475415242615,7.964103766782783,5.884930852663768,0.7170313768855766,0.6131098852993139,0.7785113115509704,8.0,0.6928,276,4,0.0514,0.1209,0.3314,0.6928,0.9213,1.0,1.0
2294,10928,411,472857,11.02588939666748,13.92501962653793,13.5-14.0,R200c,1212184,10000,10000,1.0,7.9928342352254,5.485400447129573,6.415252254617335,7.152573182246513,8.12753183000778,5.827797947076895,0.6741153030789447,0.6018071611606495,0.855353540048003,8.0,0.8133,249,5,0.0397,0.1004,0.3298,0.8133,0.9731,1.0,1.0
982,5784,426,480348,11.110547065734863,13.926903357125804,13.5-14.0,R200c,1206885,10000,10000,1.0,8.00439876618016,5.620865115865092,6.530987417855366,7.297293386780842,8.170125762103051,5.907152048855311,0.787618766123703,0.6568070214542695,0.6676989978677819,8.0,0.6566,164,7,0.0324,0.1019,0.301,0.6566,0.8238,1.0,1.0
3361,14577,178,311727,10.93513298034668,13.961965390494417,13.5-14.0,R200c,1314080,10000,10000,1.0,8.222730581727442,5.749142957080435,6.7230360404100376,7.513942552731092,8.612493567530084,6.483383110346224,0.926654489727894,0.6208734084618079,0.22995562072188797,8.0,0.6504,317,5,0.0411,0.0983,0.3151,0.6504,0.8744,0.9934,0.9999
